name,distance,mass,radius
Capella,"43
",2.6,12.0
Rigel,"860
",23.0,78.9
Procyon,"11.4
",1.5,1.9
Betelgeuse,"
",20.0,950.0
Achernar,"144
",6.7,9.3
Hadar,"390
",10.5,8.6
Altair,"17
",1.8,1.8
Acrux,"320
",18.0,8.9
Aldebaran,"65
",1.5,44.0
Antares,"600
",12.0,680.0
Spica,"260
",11.43,7.47
Pollux,"34
",1.9,8.8
Fomalhaut,"25
",1.9,1.8
Deneb,"2,600
",19.0,203.0
Mimosa,"350
",16.0,8.4
Regulus,"77
",3.8,3.1
Adhara,"430
",12.5,14.0
Shaula,"700
",14.5,8.8
Castor,"52
",2.8,2.4
Gacrux,"88
",1.5,84.0
Bellatrix,"240
",8.6,5.8
Elnath,"130
",5.0,4.2
Miaplacidus,"110
",3.5,6.8
Alnilam,"2,000
",32.0,42.0
Gamma Velorum,"1,100
",9.0,6.0
Alnair,"101
",4.0,3.4
Alioth,"81
",2.9,4.2
Alnitak,"1050
",33.0,20.0
Dubhe,"120
",4.25,30.0
Mirfak,"590
",8.5,68.0
Wezen,"1,600
",17.0,200.0
Sargas,"270
",5.7,26.0
Kaus Australis,"140
",3.5,6.8
Avior,"630
",9.0,130.0
Alkaid,"104
",6.1,3.4
Menkalinan,"81
",2.39,2.77
"Atria
","390
",7.0,92.0
Alhena,"109
",2.8,3.3
"Peacock
","180
",5.9,4.8
[2],"80
",2.4,2.9
Mirzam,"500
",13.5,10.0
Polaris,"430
",5.4,39.0
Alphard,"180
",3.0,50.0
Mintaka,"1200
",24.0,16.5
Scheat,"196
",2.1,95.0
Almaaz,"653
",15.0,140.0
Rasalgethi,"360
",2.8,280.0
Tau Ceti,"11.9
",0.783,0.893
Delta Pavonis,"19.92
",0.991,1.22
Ran,"10.48
",0.82,0.74
V382 Carinae,"8,900
",20.0,485.0
Eta Carinae,"7,500
",100.0,"60–881
"
Delta Cephei,"887
",4.5,44.5
Mu Cephei,"6,000
",19.2,972.0
Titawin,"44.25
",1.27,1.48
Rho Cassiopeiae,"8,154
",22.0,"636-981
"
P Cygni,"5,545
",30.0,76.0
La Superba,"1,000
","
","129 - 342
"
