,name,distance,mass,radius
168,sdssp j125453.90-012247.4 [de],47,38,0.98
169,sdssp j132629.82-003831.5 [de],51,65,0.97
170,sdssp j134646.45-003150.4 [de],44,48,0.94
171,sdssp j162414.37+002915.6 [de],43,36,0.94
172,sdssp j175032.96+175903.9,47,90,0.97
173,teegarden's star,80,12.578,1.27
174,teide 1,55,380,3.78
175,tvlm 513-46546,75,35.1,1.05
176,tvlm 868-110639,79,53,1.08
177,twa 26,30,137,2.2
180,twa 28,36,180,2.39
181,twa 29,2.00,262,25.0
182,ugps j072227.51-054031.2,26,13.4,0.98
183,ulas j141623.94+134836.3,32,29.7,0.96
222,wise 0410+1502,6,20,1.17
225,wise 0458+6434a,15,35.9,4.2
226,wise 0458+6434b,10,35.9,3.8
280,wise 1405+5534,30,25.3,0.86
346,wise j0254+0223,65,24,1.9
348,wisep j004701.06+680352.1 [fr],12,40,1.3
351,wisepa j164715.59+563208.2,41,28,0.94
